ID,PROGRAMA,N_PERIODOS,SECUENCIA_ESTADOS,SECUENCIA_TRANSICIONES,ESTADO_FINAL_PRED,ESTADO_FINAL_REAL
T00001550,INGENIERIA CIVIL,5,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaac,Grado,Grado
T00009748,INGENIERIA ELECTRICA,1,Primera vez en una carrera,c,Grado,Grado
T00011684,PSICOLOGIA,1,Primera vez en una carrera,c,Grado,Grado
T00013071,ADMINISTRACION DE EMPRESAS,1,Primera vez en una carrera,k,Final,Final
T00013235,DERECHO,1,Primera vez en una carrera,k,Final,Final
T00013882,ECONOMIA,1,Primera vez en una carrera,k,Final,Final
T00014508,INGENIERIA ELECTRICA,3,Primera vez en una carrera → Continuo regular → Continuo regular,kkk,Final,Final
T00014650,ADMINISTRACION DE EMPRESAS,1,Primera vez en una carrera,c,Grado,Grado
T00016227,INGENIERIA MECANICA,3,Primera vez en una carrera → Continuo regular → Continuo regular,aak,Final,Final
T00022271,FINANZAS Y NEGOCIOS INTERNACIO,5,Primera vez en una carrera → Continuo regular → Continuo regular → PAP → PAT,aabbc,Grado,Grado
T00022552,INGENIERIA INDUSTRIAL,6,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaac,Grado,Grado
T00031456,CONTADURIA PUBLICA,1,Primera vez en una carrera,c,Grado,Grado
T00032522,INGENIERIA MECANICA,8,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Primera vez en una carrera → Continuo regular,aaaaaakc,Grado,Grado
T00035897,INGENIERIA CIVIL,10,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aakabaaaac,Grado,Grado
T00036575,INGENIERIA INDUSTRIAL,5,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaac,Grado,Grado
T00037083,INGENIERIA NAVAL,2,Primera vez en una carrera → Continuo regular,ac,Grado,Grado
T00037494,INGENIERIA CIVIL,1,Primera vez en una carrera,c,Grado,Grado
T00037548,INGENIERIA MECANICA,7,Primera vez en una carrera → PAP → PAT → Recuperación académica → Recuperación académica → Recuperación académica → Recuperación académica,bbeeeek,Final,Final
T00037577,TECNOLOGIA EN GES CONTAB Y FIN,12,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaakaaaac,Grado,Grado
T00038682,INGENIERIA CIVIL,16,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP,aaaaaaaaaakkaabc,Grado,Grado
T00038835,FINANZAS Y NEGOCIOS INTERNACIO,7,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaaac,Grado,Grado
T00039255,INGENIERIA MECANICA,7,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,akaaaac,Grado,Grado
T00040665,INGENIERIA NAVAL,6,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaac,Grado,Grado
T00040765,INGENIERIA CIVIL,13,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular → Continuo regular,aaaaakakaakac,Grado,Grado
T00040967,INGENIERIA ELECTRICA,3,Primera vez en una carrera → PAP → PAT,bbc,Grado,Grado
T00040978,INGENIERIA ELECTRICA,9,Primera vez en una carrera → PAP → PAT → Recuperación académica → Recuperación académica → Recuperación académica → Primera vez en una carrera → Continuo regular → Continuo regular,bbeeeeaac,Grado,Grado
T00041037,INGENIERIA INDUSTRIAL,1,Primera vez en una carrera,k,Final,Final
T00041127,FINANZAS Y NEGOCIOS INTERNACIO,6,Primera vez en una carrera → Continuo regular → Continuo regular → Continuo regular → Continuo regular → PAP,aaaabc,Grado,Grado
