ID,PERIODO,PROGRAMA,AUTOMATA_ESTADO,TRANSICION_AUTOMATA,PROMEDIO,PROMEDIO_ACUMULADO,NRO_CURSOS_APROBADOS,CREDITOS_APROVADOS,RIESGO_EXCLUSION,TUVO_RIESGO_EXCLUSION,REGLA_SIGUIENTE,ESTADO_SIGUIENTE,PRED_V5,ES_ANOMALIA
T00032522,201920,INGENIERIA MECANICA,Continuo regular,a,4.59,4.02,4.0,17.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,Continuo regular,True
T00044883,201810,INGENIERIA AMBIENTAL,Recuperacion academica,e,0.7833333333333333,0.16,1.666666666666667,0.0,True,True,ACADEMIC_TRANSITION,Primera vez en una carrera,Recuperacion academica,True
T00045495,201820,INGENIERIA ELECTRONICA,PAT,e,0.0,0.0,1.0,0.0,True,True,ACADEMIC_TRANSITION,Primera vez en una carrera,Recuperacion academica,True
T00046138,201610,CONTADURIA PUBLICA,Primera vez en una carrera,a,3.971,3.97,5.4,9.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,Continuo regular,True
T00046465,201720,INGENIERIA AMBIENTAL,Recuperacion academica,e,0.0,0.0,0.0,9.0,True,True,ACADEMIC_TRANSITION,Primera vez en una carrera,Recuperacion academica,True
T00046476,202120,INGENIERIA AMBIENTAL,Continuo regular,a,3.41,3.25,7.0,10.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,Continuo regular,True
T00046625,201810,ADMINISTRACION DE EMPRESAS,PAT,e,0.0,0.0,1.0,0.0,True,True,ACADEMIC_TRANSITION,Primera vez en una carrera,Recuperacion academica,True
T00050010,201820,INGENIERIA MECANICA,Recuperacion academica,e,0.0,0.0,4.0,0.0,True,True,ACADEMIC_TRANSITION,Primera vez en una carrera,Recuperacion academica,True
T00050946,201710,PSICOLOGIA,Primera vez en una carrera,a,3.8475,3.85,6.125,14.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,Continuo regular,True
T00052350,201720,INGENIERIA DE SISTEMAS,Primera vez en una carrera,b,0.0,0.0,0.0,10.0,False,True,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00053075,201810,INGENIERIA NAVAL,PAP,b,0.0,0.0,0.0,11.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAT,True
T00053277,201720,INGENIERIA QUIMICA,Primera vez en una carrera,b,0.0,0.0,1.0,9.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00054731,201810,INGENIERIA ELECTRONICA,Primera vez en una carrera,b,0.0,0.0,1.0,9.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00054738,201810,INGENIERIA CIVIL,Primera vez en una carrera,b,2.7525,2.75,3.5,5.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00055019,202220,INGENIERIA CIVIL,Continuo regular,a,3.83,3.58,6.0,14.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,Continuo regular,True
T00055032,202220,DERECHO,Continuo regular,a,3.79,3.68,5.0,14.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,Continuo regular,True
T00055250,201810,INGENIERIA CIVIL,Primera vez en una carrera,b,0.0,0.0,5.0,9.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00055314,201820,DERECHO,PAP,b,0.0,0.0,4.0,17.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAT,True
T00055466,201820,INGENIERIA INDUSTRIAL,Primera vez en una carrera,b,0.0,0.0,2.0,7.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00061249,202010,INGENIERIA MECANICA,Primera vez en una carrera,a,3.418181818181818,3.42,3.909090909090909,8.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,Continuo regular,True
T00061878,202210,COMUNICACION SOCIAL,Continuo regular,a,4.65,4.56,8.0,19.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,Continuo regular,True
T00062734,202010,INGENIERIA MECATRONICA,Primera vez en una carrera,b,2.96,2.96,4.111111111111111,17.0,False,True,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00063678,202020,INGENIERIA ELECTRICA,Primera vez en una carrera,a,3.82,3.82,6.0,9.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,Continuo regular,True
T00063683,202020,INGENIERIA ELECTRICA,Primera vez en una carrera,a,3.71,3.71,7.0,18.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,Continuo regular,True
T00063728,202020,PSICOLOGIA,Primera vez en una carrera,a,4.21,4.21,5.5,8.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,Continuo regular,True
T00063873,202110,PSICOLOGIA,Primera vez en una carrera,a,3.834444444444444,3.83,6.111111111111111,17.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,Continuo regular,True
T00064696,202210,PSICOLOGIA,Primera vez en una carrera,b,0.0,0.0,8.0,18.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00064923,202110,PSICOLOGIA,Primera vez en una carrera,a,3.776666666666667,3.78,5.888888888888889,17.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,Continuo regular,True
T00065279,202110,INGENIERIA MECANICA,Primera vez en una carrera,a,3.66,3.66,4.0,17.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,Continuo regular,True
T00065520,202110,INGENIERIA MECANICA,Primera vez en una carrera,a,,,,,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,Continuo regular,True
T00066387,202210,INGENIERIA CIVIL,Primera vez en una carrera,b,3.164,3.16,4.6,,False,True,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00066449,202210,INGENIERIA NAVAL,Primera vez en una carrera,b,2.882,2.88,2.4,7.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00067776,202210,PSICOLOGIA,Primera vez en una carrera,b,0.0,0.0,8.0,16.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00068954,202210,PSICOLOGIA,Primera vez en una carrera,b,0.0,0.0,7.0,,False,True,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00069158,202220,PSICOLOGIA,Primera vez en una carrera,b,0.0,0.0,6.0,16.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00069330,202220,PSICOLOGIA,Primera vez en una carrera,b,0.0,0.0,8.0,18.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00069922,202210,PSICOLOGIA,Primera vez en una carrera,b,0.0,0.0,8.0,14.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00070736,202220,PSICOLOGIA,Primera vez en una carrera,b,0.0,0.0,8.0,17.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00076386,202220,PSICOLOGIA,Primera vez en una carrera,b,0.0,0.0,6.0,5.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
T00076404,202220,PSICOLOGIA,Primera vez en una carrera,b,0.0,0.0,5.0,8.0,False,False,ACADEMIC_TRANSITION,Primera vez en una carrera,PAP,True
