ID,PROGRAMA,N_PERIODOS,SECUENCIA_ESTADOS,SECUENCIA_TRANSICIONES,ESTADO_FINAL_PRED,ESTADO_FINAL_REAL,N_ANOMALIAS
T00001550,INGENIERIA CIVIL,5,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaac,Grado,Grado,0
T00009748,INGENIERIA ELECTRICA,1,Primera vez en una carrera,c,Grado,Grado,0
T00011684,PSICOLOGIA,1,Primera vez en una carrera,c,Grado,Grado,0
T00013071,ADMINISTRACION DE EMPRESAS,1,Primera vez en una carrera,k,Final,Final,0
T00013235,DERECHO,1,Primera vez en una carrera,k,Final,Final,0
T00013882,ECONOMIA,1,Primera vez en una carrera,k,Final,Final,0
T00014508,INGENIERIA ELECTRICA,3,Primera vez en una carrera -> Continuo regular -> Continuo regular,kkk,Final,Final,0
T00014650,ADMINISTRACION DE EMPRESAS,1,Primera vez en una carrera,c,Grado,Grado,0
T00016227,INGENIERIA MECANICA,3,Primera vez en una carrera -> Continuo regular -> Continuo regular,aak,Final,Final,0
T00022271,FINANZAS Y NEGOCIOS INTERNACIO,5,Primera vez en una carrera -> Continuo regular -> Continuo regular -> PAP -> PAT,aabbc,Grado,Grado,0
T00022552,INGENIERIA INDUSTRIAL,6,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaac,Grado,Grado,0
T00031456,CONTADURIA PUBLICA,1,Primera vez en una carrera,c,Grado,Grado,0
T00032522,INGENIERIA MECANICA,8,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Primera vez en una carrera -> Continuo regular,aaaaaakc,Grado,Grado,1
T00035897,INGENIERIA CIVIL,10,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aakabaaaac,Grado,Grado,0
T00036575,INGENIERIA INDUSTRIAL,5,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaac,Grado,Grado,0
T00037083,INGENIERIA NAVAL,2,Primera vez en una carrera -> Continuo regular,ac,Grado,Grado,0
T00037494,INGENIERIA CIVIL,1,Primera vez en una carrera,c,Grado,Grado,0
T00037548,INGENIERIA MECANICA,7,Primera vez en una carrera -> PAP -> PAT -> Recuperacion academica -> Recuperacion academica -> Recuperacion academica -> Recuperacion academica,bbeeeek,Final,Final,0
T00037577,TECNOLOGIA EN GES CONTAB Y FIN,12,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaakaaaac,Grado,Grado,0
T00038682,INGENIERIA CIVIL,16,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP,aaaaaaaaaakkaabc,Grado,Grado,0
T00038835,FINANZAS Y NEGOCIOS INTERNACIO,7,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaaac,Grado,Grado,0
T00039255,INGENIERIA MECANICA,7,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,akaaaac,Grado,Grado,0
T00040665,INGENIERIA NAVAL,6,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaac,Grado,Grado,0
T00040765,INGENIERIA CIVIL,13,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaaaakakaakac,Grado,Grado,0
T00040967,INGENIERIA ELECTRICA,3,Primera vez en una carrera -> PAP -> PAT,bbc,Grado,Grado,0
T00040978,INGENIERIA ELECTRICA,9,Primera vez en una carrera -> PAP -> PAT -> Recuperacion academica -> Recuperacion academica -> Recuperacion academica -> Primera vez en una carrera -> Continuo regular -> Continuo regular,bbeeeeaac,Grado,Grado,0
T00041037,INGENIERIA INDUSTRIAL,1,Primera vez en una carrera,k,Final,Final,0
T00041127,FINANZAS Y NEGOCIOS INTERNACIO,6,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> PAP,aaaabc,Grado,Grado,0
T00041563,INGENIERIA CIVIL,16,Primera vez en una carrera -> Continuo regular -> Continuo regular -> PAP -> Continuo regular -> Continuo regular -> PAP -> Continuo regular -> PAP -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aabaababaaaakaac,Grado,Grado,0
T00041811,PSICOLOGIA,2,Primera vez en una carrera -> Continuo regular,ac,Grado,Grado,0
T00041831,FINANZAS Y NEGOCIOS INTERNACIO,15,Primera vez en una carrera -> PAP -> Primera vez en una carrera -> Continuo regular -> Continuo regular -> PAP -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,bbaabaaaaaaaaac,Grado,Grado,0
T00041951,PSICOLOGIA,5,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> PAP,akabc,Grado,Grado,0
T00042163,INGENIERIA DE SISTEMAS,1,Primera vez en una carrera,c,Grado,Grado,0
T00042186,ADMINISTRACION DE EMPRESAS,2,Primera vez en una carrera -> Continuo regular,ak,Final,Final,0
T00042206,COMUNICACION SOCIAL,10,Primera vez en una carrera -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular -> Continuo regular,aaakaaaakc,Grado,Grado,0
